,client_id,trans_time,mcc_code,trans_type,amount,term_id,trans_city
12295,002218c52073faaf23bb26df2cffb138,54 10:35:16,6011,2010,-360.78,,Saint Petersburg
57894,002218c52073faaf23bb26df2cffb138,52 11:00:46,6011,2010,-1446.74,,Saint Petersburg
84763,002218c52073faaf23bb26df2cffb138,52 17:14:19,5541,1110,-672.38,,Saint Petersburg
165689,002218c52073faaf23bb26df2cffb138,353 16:33:39,5499,1010,-324.94,804245,Saint Petersburg
177412,002218c52073faaf23bb26df2cffb138,244 08:48:14,5812,1010,-173.87,464318,Saint Petersburg
186306,002218c52073faaf23bb26df2cffb138,259 09:50:24,5499,1010,-173.7,361877,Saint Petersburg
187339,002218c52073faaf23bb26df2cffb138,85 08:23:11,6011,2010,-1446.73,,Saint Petersburg
206872,002218c52073faaf23bb26df2cffb138,344 08:59:29,6011,7010,724.15,10117859,Saint Petersburg
238827,002218c52073faaf23bb26df2cffb138,110 17:14:23,5499,1010,-430.64,,Saint Petersburg
254207,002218c52073faaf23bb26df2cffb138,114 07:29:10,5499,1010,-639.62,,Saint Petersburg
319373,002218c52073faaf23bb26df2cffb138,392 13:41:42,6011,7010,722.73,10117859,Saint Petersburg
324796,002218c52073faaf23bb26df2cffb138,231 07:32:13,6011,2010,-2892.78,671039,Saint Petersburg
337350,002218c52073faaf23bb26df2cffb138,444 14:09:21,5499,1010,-176.5,804245,Saint Petersburg
348368,002218c52073faaf23bb26df2cffb138,203 11:04:11,5411,1110,-1858.15,,Saint Petersburg
404449,002218c52073faaf23bb26df2cffb138,182 12:19:16,5499,1010,-142.59,,Saint Petersburg
418274,002218c52073faaf23bb26df2cffb138,161 14:00:51,5499,1010,-82.36000000000001,,Saint Petersburg
429839,002218c52073faaf23bb26df2cffb138,262 10:30:08,6011,2010,-1446.41,671039,Saint Petersburg
439965,002218c52073faaf23bb26df2cffb138,63 11:38:56,5499,1010,-671.33,,Saint Petersburg
448182,002218c52073faaf23bb26df2cffb138,203 12:21:06,5541,1010,-434.53,,Saint Petersburg
516301,002218c52073faaf23bb26df2cffb138,401 07:48:56,5541,1010,-217.78,10170903,Saint Petersburg
525936,002218c52073faaf23bb26df2cffb138,108 08:28:24,5541,1110,-235.11,,Saint Petersburg
534363,002218c52073faaf23bb26df2cffb138,415 08:52:29,4814,1030,-71.50999999999999,889003,Saint Petersburg
565306,002218c52073faaf23bb26df2cffb138,172 16:04:08,5499,1010,-1061.4,,Saint Petersburg
567741,002218c52073faaf23bb26df2cffb138,431 10:43:15,5399,1110,-40.63,29209304,Saint Petersburg
603515,002218c52073faaf23bb26df2cffb138,101 12:05:08,5261,1110,-2231.02,,Saint Petersburg
606319,002218c52073faaf23bb26df2cffb138,328 15:29:11,5541,1010,-432.81,10170903,Saint Petersburg
667563,002218c52073faaf23bb26df2cffb138,412 14:41:58,6011,7010,722.88,10117859,Saint Petersburg
714198,002218c52073faaf23bb26df2cffb138,39 12:33:34,5411,1110,-1920.1,,Saint Petersburg
753062,002218c52073faaf23bb26df2cffb138,231 07:32:00,6011,2010,-1011.8,671039,Saint Petersburg
790380,002218c52073faaf23bb26df2cffb138,254 07:45:11,5499,1010,-204.71,804245,Saint Petersburg
916811,002218c52073faaf23bb26df2cffb138,415 05:58:23,6011,2010,-1445.81,576305,Saint Petersburg
919566,002218c52073faaf23bb26df2cffb138,414 10:05:26,5499,1010,-253.88,361878,Saint Petersburg
924446,002218c52073faaf23bb26df2cffb138,178 10:53:12,5533,1110,-440.22,,Saint Petersburg
927387,002218c52073faaf23bb26df2cffb138,39 11:25:22,5499,1010,-340.53,,Saint Petersburg
929905,002218c52073faaf23bb26df2cffb138,113 12:07:47,5541,1110,-705.84,,Saint Petersburg
1117743,002218c52073faaf23bb26df2cffb138,248 11:36:22,5499,1010,-271.57,804245,Saint Petersburg
1131802,002218c52073faaf23bb26df2cffb138,108 11:30:40,5411,1110,-123.12,,Saint Petersburg
1145217,002218c52073faaf23bb26df2cffb138,291 15:07:00,6011,2010,-2891.73,671039,Saint Petersburg
1200394,002218c52073faaf23bb26df2cffb138,98 14:31:18,6011,2010,-360.57,,Saint Petersburg
1220264,002218c52073faaf23bb26df2cffb138,90 14:22:36,5541,1110,-703.92,,Saint Petersburg
1236976,002218c52073faaf23bb26df2cffb138,384 11:03:04,6011,2010,-2891.94,671039,Saint Petersburg
1252258,002218c52073faaf23bb26df2cffb138,445 07:36:10,5999,1010,-410.16,10110124,Saint Petersburg
1285679,002218c52073faaf23bb26df2cffb138,115 10:52:50,5499,1010,-404.07,,Saint Petersburg
1336992,002218c52073faaf23bb26df2cffb138,389 18:42:20,4814,1030,-71.31,889002,Saint Petersburg
1356718,002218c52073faaf23bb26df2cffb138,242 11:33:33,5499,1010,-754.38,361876,Saint Petersburg
1419140,002218c52073faaf23bb26df2cffb138,211 08:53:13,6011,7010,10845.82,10117859,Saint Petersburg
1452418,002218c52073faaf23bb26df2cffb138,160 18:48:57,5499,1010,-436.69,,Saint Petersburg
1470771,002218c52073faaf23bb26df2cffb138,56 08:06:47,5499,1010,-782.45,,Saint Petersburg
1548347,002218c52073faaf23bb26df2cffb138,8 09:32:08,6011,2010,-217.93,,Saint Petersburg
1562313,002218c52073faaf23bb26df2cffb138,251 09:58:13,5411,1110,-1487.11,25012482,Saint Petersburg
1568822,002218c52073faaf23bb26df2cffb138,113 06:21:59,5999,1010,-795.2,,Saint Petersburg
1615298,002218c52073faaf23bb26df2cffb138,101 11:39:27,4789,1010,-649.81,,Saint Petersburg
1631699,002218c52073faaf23bb26df2cffb138,91 11:55:41,5499,1010,-372.55,,Saint Petersburg
1641206,002218c52073faaf23bb26df2cffb138,394 08:36:10,4814,1030,-73.21,889000,Saint Petersburg
1672607,002218c52073faaf23bb26df2cffb138,416 09:05:31,5411,1110,-322.45,00122601,Saint Petersburg
1702267,002218c52073faaf23bb26df2cffb138,163 08:10:55,4789,1010,-578.45,,Saint Petersburg
1702584,002218c52073faaf23bb26df2cffb138,211 09:11:59,5541,1010,-362.23,10170903,Saint Petersburg
1705813,002218c52073faaf23bb26df2cffb138,444 14:06:36,5499,1010,-17.490000000000002,804245,Saint Petersburg
1714645,002218c52073faaf23bb26df2cffb138,88 14:06:10,6011,7010,10847.44,,Saint Petersburg
1720069,002218c52073faaf23bb26df2cffb138,21 12:06:45,6011,2010,-1445.77,,Saint Petersburg
1729712,002218c52073faaf23bb26df2cffb138,53 13:44:51,5499,1010,-713.15,,Saint Petersburg
